"DateTime","Surface soil moisture - USDA SMAP: avg","Surface soil moisture - USDA SMAP: avg"
"2015-04-03 00:00:00",5.310928821563721,5.310928821563721
"2015-04-06 00:00:00",5.3501458168029785,5.3501458168029785
"2015-04-09 00:00:00",6.500547409057617,6.500547409057617
"2015-04-12 00:00:00",7.804873466491699,7.804873466491699
"2015-04-15 00:00:00",5.377542495727539,5.377542495727539
"2015-04-18 00:00:00",5.317418098449707,5.317418098449707
"2015-04-21 00:00:00",5.319052696228027,5.319052696228027
"2015-04-24 00:00:00",5.164380073547363,5.164380073547363
"2015-04-27 00:00:00",6.014992713928223,6.014992713928223
"2015-04-30 00:00:00",5.298145771026611,5.298145771026611
"2015-05-03 00:00:00",7.857358932495117,7.857358932495117
"2015-05-06 00:00:00",9.449688911437988,9.449688911437988
"2015-05-09 00:00:00",7.29865026473999,7.29865026473999
"2015-05-12 00:00:00",7.374732971191406,7.374732971191406
"2015-05-15 00:00:00",8.186813354492188,8.186813354492188
"2015-05-18 00:00:00",8.592732429504395,8.592732429504395
"2015-05-21 00:00:00",8.239768981933594,8.239768981933594
"2015-05-24 00:00:00",8.382014274597168,8.382014274597168
"2015-05-27 00:00:00",8.191804885864258,8.191804885864258
"2015-05-30 00:00:00",7.797181129455566,7.797181129455566
"2015-06-02 00:00:00",9.52256965637207,9.52256965637207
"2015-06-05 00:00:00",9.297041893005371,9.297041893005371
"2015-06-08 00:00:00",9.011434555053711,9.011434555053711
"2015-06-11 00:00:00",9.491800308227539,9.491800308227539
"2015-06-14 00:00:00",9.017077445983887,9.017077445983887
"2015-06-17 00:00:00",8.762225151062012,8.762225151062012
"2015-06-20 00:00:00",9.432317733764648,9.432317733764648
"2015-06-23 00:00:00",8.843949317932129,8.843949317932129
"2015-06-26 00:00:00",9.669625282287598,9.669625282287598
"2015-06-29 00:00:00",10.350394248962402,10.350394248962402
"2015-07-02 00:00:00",11.06054401397705,11.06054401397705
"2015-07-05 00:00:00",12.726065635681152,12.726065635681152
"2015-07-08 00:00:00",14.100103378295898,14.100103378295898
"2015-07-11 00:00:00",16.12895965576172,16.12895965576172
"2015-07-14 00:00:00",14.949297904968262,14.949297904968262
"2015-07-17 00:00:00",14.895574569702148,14.895574569702148
"2015-07-20 00:00:00",15.717244148254395,15.717244148254395
"2015-07-23 00:00:00",12.731672286987305,12.731672286987305
"2015-07-26 00:00:00",12.252224922180176,12.252224922180176
"2015-07-29 00:00:00",12.848468780517578,12.848468780517578
"2015-08-01 00:00:00",13.403974533081055,13.403974533081055
"2015-08-04 00:00:00",13.60798168182373,13.60798168182373
"2015-08-07 00:00:00",15.87546157836914,15.87546157836914
"2015-08-10 00:00:00",18.35415267944336,18.35415267944336
"2015-08-13 00:00:00",18.642465591430664,18.642465591430664
"2015-08-16 00:00:00",18.44841957092285,18.44841957092285
"2015-08-19 00:00:00",19.588489532470703,19.588489532470703
"2015-08-22 00:00:00",20.731094360351562,20.731094360351562
"2015-08-25 00:00:00",21.197763442993164,21.197763442993164
"2015-08-28 00:00:00",20.961620330810547,20.961620330810547
"2015-08-31 00:00:00",19.305932998657227,19.305932998657227
"2015-09-03 00:00:00",18.816133499145508,18.816133499145508
"2015-09-06 00:00:00",19.596580505371094,19.596580505371094
"2015-09-09 00:00:00",19.393909454345703,19.393909454345703
"2015-09-12 00:00:00",19.26152229309082,19.26152229309082
"2015-09-15 00:00:00",20.20794677734375,20.20794677734375
"2015-09-18 00:00:00",18.14838409423828,18.14838409423828
"2015-09-21 00:00:00",19.2823486328125,19.2823486328125
"2015-09-24 00:00:00",19.704357147216797,19.704357147216797
"2015-09-27 00:00:00",19.180700302124023,19.180700302124023
"2015-09-30 00:00:00",19.974830627441406,19.974830627441406
"2015-10-03 00:00:00",18.471202850341797,18.471202850341797
"2015-10-06 00:00:00",20.547937393188477,20.547937393188477
"2015-10-09 00:00:00",18.578964233398438,18.578964233398438
"2015-10-12 00:00:00",17.115718841552734,17.115718841552734
"2015-10-15 00:00:00",16.17734718322754,16.17734718322754
"2015-10-18 00:00:00",14.989588737487793,14.989588737487793
"2015-10-21 00:00:00",15.67642879486084,15.67642879486084
"2015-10-24 00:00:00",13.913951873779297,13.913951873779297
"2015-10-27 00:00:00",14.655390739440918,14.655390739440918
"2015-10-30 00:00:00",14.511938095092773,14.511938095092773
"2015-11-02 00:00:00",13.25639820098877,13.25639820098877
"2015-11-05 00:00:00",11.750090599060059,11.750090599060059
"2015-11-08 00:00:00",11.936614036560059,11.936614036560059
"2015-11-11 00:00:00",10.805070877075195,10.805070877075195
"2015-11-14 00:00:00",9.157094955444336,9.157094955444336
"2015-11-17 00:00:00",9.128387451171875,9.128387451171875
"2015-11-20 00:00:00",8.245194435119629,8.245194435119629
"2015-11-23 00:00:00",8.164329528808594,8.164329528808594
"2015-11-26 00:00:00",7.805052757263184,7.805052757263184
"2015-11-29 00:00:00",7.60748291015625,7.60748291015625
"2015-12-02 00:00:00",7.240835666656494,7.240835666656494
"2015-12-05 00:00:00",6.346227645874023,6.346227645874023
"2015-12-08 00:00:00",5.805912017822266,5.805912017822266
"2015-12-11 00:00:00",5.372011184692383,5.372011184692383
"2015-12-14 00:00:00",5.174355983734131,5.174355983734131
"2015-12-17 00:00:00",4.783151626586914,4.783151626586914
"2015-12-20 00:00:00",4.534600734710693,4.534600734710693
"2015-12-23 00:00:00",4.291711807250977,4.291711807250977
"2015-12-26 00:00:00",4.129364967346191,4.129364967346191
"2015-12-29 00:00:00",3.924903154373169,3.924903154373169
