DateTime	SPoRT Evaporative Stress Index (ESI-4WEEK): avg
12/11/2003 0:00	0.331220537
12/18/2003 0:00	0.296414077
12/25/2003 0:00	0.658876061
1/1/2004 0:00	0.808421373
1/8/2004 0:00	0.496399581
1/15/2004 0:00	0.43988198
1/22/2004 0:00	0.172168091
1/29/2004 0:00	0.259654254
2/5/2004 0:00	0.209516749
2/12/2004 0:00	0.333113819
2/19/2004 0:00	0.385856807
2/26/2004 0:00	0.227247104
3/4/2004 0:00	-0.045197632
3/11/2004 0:00	-0.032539312
3/18/2004 0:00	0.158088386
3/25/2004 0:00	0.414728135
4/1/2004 0:00	0.291473597
4/8/2004 0:00	0.083103411
4/15/2004 0:00	0.295581758
4/22/2004 0:00	0.158807114
4/29/2004 0:00	-0.068305634
5/6/2004 0:00	0.088887356
5/13/2004 0:00	0.417106628
5/20/2004 0:00	0.274491251
5/27/2004 0:00	-0.032988284
6/3/2004 0:00	-0.217277303
6/10/2004 0:00	-0.408566505
6/17/2004 0:00	-0.016623035
6/24/2004 0:00	0.075660244
7/1/2004 0:00	0.232753068
7/8/2004 0:00	0.211301625
7/15/2004 0:00	0.17376247
7/22/2004 0:00	-0.151592091
7/29/2004 0:00	-0.416981965
8/5/2004 0:00	-0.473724991
8/12/2004 0:00	-0.578766465
8/19/2004 0:00	-0.600230932
8/26/2004 0:00	-0.71671021
9/2/2004 0:00	-0.763763428
9/9/2004 0:00	-0.827109039
9/16/2004 0:00	-0.775864422
9/23/2004 0:00	-1.005845666
9/30/2004 0:00	-0.551882923
10/7/2004 0:00	-0.54555589
10/14/2004 0:00	-0.162390903
10/21/2004 0:00	0.415841728
10/28/2004 0:00	0.526340246
11/4/2004 0:00	0.491506338
11/11/2004 0:00	0.400320411
11/18/2004 0:00	0.740092516
11/25/2004 0:00	0.90076822
12/2/2004 0:00	1.141726971
12/11/2004 0:00	0.837523043
12/18/2004 0:00	0.500007629
12/25/2004 0:00	-0.423986495
1/1/2005 0:00	-0.438366026
1/8/2005 0:00	-0.501331687
1/15/2005 0:00	-0.086534604
1/22/2005 0:00	0.6720047
1/29/2005 0:00	0.430214703
2/5/2005 0:00	0.597080171
2/12/2005 0:00	-0.003971208
2/19/2005 0:00	0.453769982
2/26/2005 0:00	0.593981981
3/5/2005 0:00	0.233131349
3/12/2005 0:00	0.099542305
3/19/2005 0:00	-0.113849744
3/26/2005 0:00	-0.21013464
4/2/2005 0:00	-0.270706207
4/9/2005 0:00	-0.122348666
4/16/2005 0:00	0.893247306
4/23/2005 0:00	0.805673838
4/30/2005 0:00	0.328822672
5/7/2005 0:00	0.02972883
5/14/2005 0:00	-0.168047309
5/21/2005 0:00	-0.422460943
5/28/2005 0:00	-0.073340558
6/4/2005 0:00	0.672936499
6/11/2005 0:00	0.736455679
6/18/2005 0:00	0.64307189
6/25/2005 0:00	0.392505527
7/2/2005 0:00	0.260155678
7/9/2005 0:00	-0.065987177
7/16/2005 0:00	-0.198390394
7/23/2005 0:00	-0.204210714
7/30/2005 0:00	-0.211446211
8/6/2005 0:00	-0.611783445
8/13/2005 0:00	-0.457012564
8/20/2005 0:00	-0.495025188
8/27/2005 0:00	-0.698165655
9/3/2005 0:00	-0.621230066
9/10/2005 0:00	-0.493947864
9/17/2005 0:00	-0.569107831
9/24/2005 0:00	-0.35161522
10/1/2005 0:00	-0.278180212
10/8/2005 0:00	-0.196956739
10/15/2005 0:00	-0.601883411
10/22/2005 0:00	-0.354450345
10/29/2005 0:00	-0.221814141
11/5/2005 0:00	-0.023001354
11/12/2005 0:00	0.487008035
11/19/2005 0:00	0.270890385
11/26/2005 0:00	-0.119852327
12/3/2005 0:00	-0.089457639
12/11/2005 0:00	0.054070327
12/18/2005 0:00	0.44743973
12/25/2005 0:00	0.907384574
1/1/2006 0:00	0.786581576
1/8/2006 0:00	0.582728267
1/15/2006 0:00	0.653290749
1/22/2006 0:00	0.444161385
1/29/2006 0:00	0.217369303
2/5/2006 0:00	-0.109621927
2/12/2006 0:00	-0.375109643
2/19/2006 0:00	-0.407222837
2/26/2006 0:00	-0.450200111
3/5/2006 0:00	0.213419333
3/12/2006 0:00	-0.06323228
3/19/2006 0:00	-0.152720213
3/26/2006 0:00	-0.472781479
4/2/2006 0:00	-0.678309798
4/9/2006 0:00	-0.748042881
4/16/2006 0:00	-1.180436015
4/23/2006 0:00	-0.314848483
4/30/2006 0:00	0.729210794
5/7/2006 0:00	0.596242785
5/14/2006 0:00	0.385094434
5/21/2006 0:00	0.01479598
5/28/2006 0:00	-0.166331008
6/4/2006 0:00	0.322157413
6/11/2006 0:00	0.172143891
6/18/2006 0:00	-0.142982677
6/25/2006 0:00	-0.435944289
7/2/2006 0:00	-0.537308395
7/9/2006 0:00	-0.558854997
7/16/2006 0:00	0.355745882
7/23/2006 0:00	0.284025043
7/30/2006 0:00	0.257300973
8/6/2006 0:00	0.202004552
8/13/2006 0:00	0.026389899
8/20/2006 0:00	0.31492725
8/27/2006 0:00	0.442627251
9/3/2006 0:00	0.719034314
9/10/2006 0:00	0.755243659
9/17/2006 0:00	0.753708839
9/24/2006 0:00	0.477191746
10/1/2006 0:00	0.342773438
10/8/2006 0:00	0.213479266
10/15/2006 0:00	-0.410767138
10/22/2006 0:00	-0.989284039
10/29/2006 0:00	-1.209498882
11/5/2006 0:00	-1.698106766
11/12/2006 0:00	-1.854568601
11/19/2006 0:00	-1.456876636
11/26/2006 0:00	-1.069073319
12/3/2006 0:00	-0.9817819
12/11/2006 0:00	-0.84770447
12/18/2006 0:00	-1.132943392
12/25/2006 0:00	-1.117203236
1/1/2007 0:00	-0.79358983
1/8/2007 0:00	-0.535251915
1/15/2007 0:00	-0.327834696
1/22/2007 0:00	-0.45832485
1/29/2007 0:00	-0.521503747
2/5/2007 0:00	-0.686059117
2/12/2007 0:00	-0.662587047
2/19/2007 0:00	-0.375125915
2/26/2007 0:00	-0.528957129
3/5/2007 0:00	-0.667869031
3/12/2007 0:00	-0.021959692
3/19/2007 0:00	-0.16035834
3/26/2007 0:00	-0.047997974
4/2/2007 0:00	-0.006642471
4/9/2007 0:00	-0.004022275
4/16/2007 0:00	0.147401363
4/23/2007 0:00	0.429080307
4/30/2007 0:00	0.501294315
5/7/2007 0:00	0.034580626
5/14/2007 0:00	-0.151656896
5/21/2007 0:00	-0.119785726
5/28/2007 0:00	-0.347504735
6/4/2007 0:00	-0.458705604
6/11/2007 0:00	-0.604934216
6/18/2007 0:00	-0.537657917
6/25/2007 0:00	-0.664576232
7/2/2007 0:00	-0.193286344
7/9/2007 0:00	-0.125438139
7/16/2007 0:00	0.183572963
7/23/2007 0:00	0.297957927
7/30/2007 0:00	0.374628603
8/6/2007 0:00	0.442346781
8/13/2007 0:00	0.535408974
8/20/2007 0:00	0.588552654
8/27/2007 0:00	0.540110946
9/3/2007 0:00	0.095411666
9/10/2007 0:00	-0.056343433
9/17/2007 0:00	-0.130954787
9/24/2007 0:00	0.070261247
10/1/2007 0:00	0.450315416
10/8/2007 0:00	0.280760556
10/15/2007 0:00	0.36540997
10/22/2007 0:00	0.285514563
10/29/2007 0:00	0.743178785
11/5/2007 0:00	0.815662146
11/12/2007 0:00	0.956808865
11/19/2007 0:00	0.01353394
11/26/2007 0:00	-0.441478878
12/3/2007 0:00	-0.800380945
12/11/2007 0:00	-0.632202208
12/18/2007 0:00	-0.322622389
12/25/2007 0:00	-0.520828843
1/1/2008 0:00	-1.201779604
1/8/2008 0:00	-1.544341564
1/15/2008 0:00	-1.742461562
1/22/2008 0:00	-1.580591679
1/29/2008 0:00	-1.158336878
2/5/2008 0:00	-0.517670453
