"","hex_id","na.cnt","na.cnt.2","trend","p.val","r2","std.er","trnd.strngth","seas.strngth"
"108",320,NA,NA,NA,NA,NA,NA,NA,NA
"109",321,NA,NA,NA,NA,NA,NA,NA,NA
"110",322,NA,NA,NA,NA,NA,NA,NA,NA
"111",323,NA,NA,NA,NA,NA,NA,NA,NA
"112",328,NA,NA,NA,NA,NA,NA,NA,NA
"113",329,NA,NA,NA,NA,NA,NA,NA,NA
"114",330,NA,NA,NA,NA,NA,NA,NA,NA
"115",331,NA,NA,NA,NA,NA,NA,NA,NA
"116",332,NA,NA,NA,NA,NA,NA,NA,NA
"117",333,NA,NA,NA,NA,NA,NA,NA,NA
"118",334,NA,NA,NA,NA,NA,NA,NA,NA
"119",335,NA,NA,NA,NA,NA,NA,NA,NA
"120",336,NA,NA,NA,NA,NA,NA,NA,NA
"121",342,NA,NA,NA,NA,NA,NA,NA,NA
"122",343,NA,NA,NA,NA,NA,NA,NA,NA
"123",344,NA,NA,NA,NA,NA,NA,NA,NA
"124",345,NA,NA,NA,NA,NA,NA,NA,NA
"125",346,NA,NA,NA,NA,NA,NA,NA,NA
"126",347,NA,NA,NA,NA,NA,NA,NA,NA
"127",348,NA,NA,NA,NA,NA,NA,NA,NA
"128",349,NA,NA,NA,NA,NA,NA,NA,NA
"129",350,NA,NA,NA,NA,NA,NA,NA,NA
"130",354,NA,NA,NA,NA,NA,NA,NA,NA
"131",355,NA,NA,NA,NA,NA,NA,NA,NA
"132",356,NA,NA,NA,NA,NA,NA,NA,NA
"133",357,NA,NA,NA,NA,NA,NA,NA,NA
"134",358,NA,NA,NA,NA,NA,NA,NA,NA
"135",359,NA,NA,NA,NA,NA,NA,NA,NA
"136",360,NA,NA,NA,NA,NA,NA,NA,NA
"137",361,NA,NA,NA,NA,NA,NA,NA,NA
"138",362,NA,NA,NA,NA,NA,NA,NA,NA
"139",363,NA,NA,NA,NA,NA,NA,NA,NA
"140",367,NA,NA,NA,NA,NA,NA,NA,NA
"141",368,NA,NA,NA,NA,NA,NA,NA,NA
"142",369,NA,NA,NA,NA,NA,NA,NA,NA
"143",370,NA,NA,NA,NA,NA,NA,NA,NA
"144",371,NA,NA,NA,NA,NA,NA,NA,NA
"145",372,NA,NA,NA,NA,NA,NA,NA,NA
"146",373,NA,NA,NA,NA,NA,NA,NA,NA
"147",374,NA,NA,NA,NA,NA,NA,NA,NA
"148",375,NA,NA,NA,NA,NA,NA,NA,NA
"149",376,NA,NA,NA,NA,NA,NA,NA,NA
