"","evi"
"2001-01-17",0.310381578947369
"2001-03-22",0.601781079356065
"2001-04-23",0.558505013419064
"2002-01-17",0.372822727272727
"2002-02-02",0.43699706793972
"2002-04-07",0.570153915018706
"2002-04-23",0.661901773386585
"2002-12-19",0.362930303030303
"2003-01-17",0.433128006033654
"2003-02-02",0.382887599173278
"2003-02-18",0.31632
"2003-03-06",0.342445652173913
"2003-04-07",0.583937657041955
"2003-06-10",0.685937184115523
"2003-12-19",0.495862354546582
"2004-02-02",0.368092559779965
"2004-04-22",0.536937228894331
"2004-07-11",0.542494228697515
"2004-10-15",0.5089
"2005-01-17",0.401892043941888
"2005-03-06",0.60763805873074
"2005-04-23",0.508585117340225
"2005-12-19",0.405169859043604
"2006-01-01",0.405169859043604
"2006-01-17",0.345695
"2006-02-02",0.42662706570784
"2006-04-23",0.609619051491088
"2007-01-01",0.406946182085169
"2007-02-02",0.386178126558541
"2007-03-22",0.413725594285091
"2007-04-23",0.500077156743621
"2007-11-17",0.585572160554505
"2007-12-19",0.361622208909705
"2008-01-01",0.361622208909705
"2008-01-17",0.405416342900172
"2008-02-02",0.43441384709905
"2008-04-22",0.524054221757341
"2008-05-08",0.595760824701666
"2008-06-09",0.526699983153438
"2008-12-02",0.472216129032258
"2009-01-01",0.356944736842105
"2009-01-17",0.477463610771449
"2009-02-02",0.447495367392457
"2009-04-07",0.631218122613968
"2009-05-09",0.643054705252207
"2009-05-25",0.609511679559235
"2009-12-03",0.573887186650874
"2010-01-17",0.452081495895236
"2010-02-02",0.419149149956408
"2010-04-07",0.502110273765989
"2011-02-02",0.385678829402085
"2011-03-22",0.615637074160165
"2011-12-19",0.422556527754486
"2012-01-01",0.422651059624726
"2012-01-17",0.25515625
"2012-02-18",0.371264093001455
"2012-03-05",0.417523187743771
"2012-04-06",0.508114998389451
"2012-12-18",0.392087755102041
"2013-01-01",0.383135185185185
"2013-01-17",0.375472817339456
"2013-02-02",0.287363043478261
"2013-02-18",0.459573426137544
"2013-03-06",0.400386243386243
"2013-03-22",0.538210378808244
"2013-04-07",0.575808204058283
"2013-04-23",0.61080879722725
"2013-12-03",0.493461111111111
"2014-03-06",0.458120343839541
"2014-03-22",0.460142892896088
"2014-04-07",0.601348385480852
"2014-04-23",0.665670043386361
"2014-11-01",0.546676584228295
"2014-12-19",0.443633333333333
"2015-03-06",0.496692862529286
"2016-03-05",0.427263670456945
"2017-01-17",0.370184306812768
"2017-05-25",0.599854204936663
"2017-11-17",0.522750964114506
"2018-01-17",0.208835
"2018-02-18",0.437926683510014
"2018-12-19",0.377340540540541
"2019-01-01",0.367925
"2019-01-17",0.419579978485949
"2019-02-02",0.379134277110421
"2019-03-06",0.447032972134694
"2019-03-22",0.465232700158647
"2019-04-07",0.481987953509501
"2019-10-16",0.539375
"2019-11-01",0.595086321700169
"2019-11-17",0.574803075154125
"2020-02-02",0.304216883116883
"2020-03-05",0.387680365810763
"2020-03-21",0.44652839439603
"2020-10-31",0.492869208915014
"2021-03-06",0.455079076890794
"2021-03-22",0.549373408472779
"2021-04-07",0.574881760572818
"2021-09-14",0.508226388888889
"2021-10-16",0.611328120784981
"2021-11-01",0.633890074721557
"2021-11-17",0.585440081190008
