"","year","month","Precipitation","Evapotranspiration","Humidity","Drought","MiniTemperature","MaxTemperature"
"1",2000,1,1.03446192896007,2.93685728083697e-05,0.0151993310660893,-86.1249551774144,217.181413136639,315.837925587444
"2",2000,2,0.991728828178321,2.63435430176796e-05,0.0123180565967453,-168.351198807176,210.775077953043,325.4742552565
"3",2000,3,3.21328094140068,2.92731223191906e-05,0.0161132528470473,-220.691993451033,232.661971271831,332.038919868283
"4",2000,4,5.18105266009732,4.51587809700941e-05,0.0174854078889643,-190.382858814074,224.042359069542,321.680998215591
"5",2000,5,6.71509084699474,4.75805942513879e-05,0.0174949731103338,-210.671413965656,228.876524176153,318.398270594316
"6",2000,6,8.27979640566294,4.92851764701943e-05,0.0164462095980675,-209.068350109113,222.494495167138,295.693687793074
"7",2000,7,2.69224508778628,4.62595718598451e-05,0.0154824196394872,-226.435585049402,218.283655128855,280.267000654882
"8",2000,8,2.27833528710166,4.11017806453448e-05,0.0152177670547883,-243.067381872408,210.819643473619,278.743343854814
"9",2000,9,3.00788848801851,4.26656465278597e-05,0.0155884613426438,-284.102311204339,217.148099087386,291.022239132515
"10",2000,10,3.82660348888899,4.90702513415589e-05,0.0157291464991101,-359.927570729234,221.455262741115,299.6621131315
"11",2000,11,2.19768436034356,4.2778909364012e-05,0.0160967926915838,-396.282173857653,216.35238112909,320.161944621306
"12",2000,12,1.10268646987822,2.69712144397768e-05,0.0143638908714059,-459.730153962849,218.713758819615,321.365856776496
"13",2001,1,0.354277737750048,2.09453300130389e-05,0.0139363906624264,-453.204575149272,206.32917661039,320.049959112791
"14",2001,2,1.27831528284013,2.06405820299678e-05,0.0135289608202519,-489.523263739196,218.392914236565,331.437442108046
"15",2001,3,4.26973630314804,3.60969703639113e-05,0.0168167286775461,-556.546418947585,223.403494014171,332.497597599726
"16",2001,4,6.28068110983356,4.44334529650951e-05,0.017355286026311,-364.114410538949,222.296572799813,319.761057137999
"17",2001,5,7.45176200321773,4.06681190306524e-05,0.0177275420182795,-304.379087841843,231.669386260775,324.668555759734
"18",2001,6,7.16576118218279,4.79546178435365e-05,0.0166487067935087,-309.762639250985,224.664868540989,291.118326169553
"19",2001,7,2.55523614805103,4.56260289257344e-05,0.0156304603170856,-339.945689600795,216.94076538937,281.337369806265
"20",2001,8,1.11562766177364,3.70299358026263e-05,0.0151611764330931,-354.200557684734,211.034895414441,274.596264113602
"21",2001,9,4.71161552788004,4.30631046810337e-05,0.0152238087960051,-320.61523021911,218.097310858097,283.466184033296
"22",2001,10,4.40293173908441,5.17235944001665e-05,0.0161009118789468,-365.516518104316,218.835616162282,305.183692731287
"23",2001,11,2.83579307643194,4.62277624417591e-05,0.0161153199487463,-347.419441262864,225.815261320147,315.929082171522
"24",2001,12,0.913028543340916,3.01484031291713e-05,0.0155179154408134,-372.321553622287,223.151357069563,321.083505416537
"25",2002,1,0.777878702740826,2.22156020883327e-05,0.013475984970339,-380.820238728956,213.975711135855,315.291787812245
"26",2002,2,1.36226838459185,2.20530814789603e-05,0.0147414904053446,-399.645213453539,216.071787392745,327.38180506174
"27",2002,3,2.69567721769443,3.29127485359582e-05,0.0169307314847498,-360.876653226995,226.088392697082,326.254018088302
"28",2002,4,7.88110606800304,4.25101495457851e-05,0.0176087767978236,-205.840819095398,228.999654457671,316.695651387156
"29",2002,5,7.02863107319542,4.73564462934942e-05,0.0180502546011642,-179.533845042014,234.794955869756,320.8527877651
"30",2002,6,7.96323862678471,4.4595183357529e-05,0.0169316131862419,-130.284943956579,223.156973616924,300.721190674745
"31",2002,7,6.47565769381118,4.6724055585343e-05,0.016397251031768,45.8378529621057,220.573787314307,286.968019594579
"32",2002,8,2.71443805120269,4.31274393902747e-05,0.0156772687436325,30.8946001640257,216.485279915241,276.205257674953
"33",2002,9,2.20266673972901,4.49325135815752e-05,0.0157549024851822,-68.7450085292379,219.071322513554,286.177924373346
"34",2002,10,7.34870378031933,4.96881288636624e-05,0.0165798024534589,17.4607409900945,216.50939061815,297.292085739777
"35",2002,11,3.83397476925163,5.05066646539694e-05,0.0163253616745969,-35.77323514699,219.790704144268,312.392623061433
"36",2002,12,0.864219717618775,3.72355402264359e-05,0.0137048810701432,-150.497880771194,214.89978985148,316.686549023279
"37",2003,1,0.688974562848933,2.65155425587938e-05,0.0139343208409635,-160.774821435798,216.700282616905,317.197444945833
"38",2003,2,2.42188564973804,2.93470646153709e-05,0.0161730694169793,-151.22291633921,231.975272200102,328.983776287819
"39",2003,3,3.65397004224697,3.38505545111312e-05,0.0168894256394283,-212.34332416623,229.436873529148,330.00069801475
"40",2003,4,6.14548271621819,4.31661247396478e-05,0.0176914646436633,-137.641616437099,227.572804203064,315.01882003298
"41",2003,5,5.4869189330212,4.66932120680818e-05,0.0175934485850055,-150.023921850363,233.455790753781,317.09993218944
"42",2003,6,7.56447584237988,4.43188792290941e-05,0.0169242793817654,-154.952021206806,223.832136861242,290.632573238182
"43",2003,7,2.59012434917668,4.50463342040898e-05,0.0158016797871671,-212.686235354958,215.985929215712,284.770794161036
"44",2003,8,1.30607223586465,4.40732515107401e-05,0.0151631963191532,-259.198831801868,214.326936900814,281.575179738094
"45",2003,9,4.11639501802856,4.03250795594376e-05,0.0157728690636217,-309.782209585423,221.576417567421,287.724049398944
"46",2003,10,8.63920340634648,4.54179879213094e-05,0.0173297003465796,-207.154156206766,226.65076246207,305.147749324795
"47",2003,11,5.16936954226137,4.63239572249116e-05,0.017195322610745,-147.966321965177,221.423416324972,315.3386909078
"48",2003,12,1.50500093030059,3.63967874926051e-05,0.015146681322592,-142.939301102836,220.344929275883,313.905435785106
"49",2004,1,1.24067122957244,3.38902431532389e-05,0.014943600567925,-57.8244122687387,221.943010407579,313.950025250056
"50",2004,2,2.9780698132804,3.18663720988309e-05,0.0153234366422966,33.8046310624109,225.109951532489,323.944270448741
"51",2004,3,4.06170402831999,4.03938758179445e-05,0.0161907327121793,-7.40522019320363,233.201031278377,326.088063791415
"52",2004,4,3.05956919405172,4.00794650853179e-05,0.0176812533738053,-155.494363065865,231.035433948119,314.064375454219
"53",2004,5,4.63564853565424,4.68341304359056e-05,0.0171777295519706,-233.00044325966,231.48369349316,303.071996813452
"54",2004,6,4.33309866033225,4.38295261184755e-05,0.0165271707989291,-328.355164044239,222.363632741088,289.720642412276
