"","year","month","MaxTemperature"
"201",2016,9,303.9921845
"202",2016,10,325.8201976
"203",2016,11,349.8782822
"204",2016,12,349.5899425
"205",2017,1,349.7543406
"206",2017,2,365.6987419
"207",2017,3,368.4420638
"208",2017,4,355.1939941
"209",2017,5,334.6990197
"210",2017,6,315.8978257
"211",2017,7,300.3158747
"212",2017,8,294.7622465
"213",2017,9,307.0851626
"214",2017,10,328.8388687
"215",2017,11,345.6853209
"216",2017,12,344.3185794
"217",2018,1,343.7389318
"218",2018,2,359.8672286
"219",2018,3,353.431768
"220",2018,4,349.334925
"221",2018,5,333.9649842
"222",2018,6,312.1924279
"223",2018,7,296.4165446
"224",2018,8,290.3449202
"225",2018,9,300.7982371
"226",2018,10,315.779561
"227",2018,11,341.6714231
"228",2018,12,338.0440196
"229",2019,1,354.1642111
"230",2019,2,365.9143302
"231",2019,3,367.320115
"232",2019,4,358.9682652
"233",2019,5,339.1737295
"234",2019,6,318.2112233
"235",2019,7,301.8722327
"236",2019,8,298.1346736
"237",2019,9,309.1009469
"238",2019,10,319.5155318
"239",2019,11,349.4863844
"240",2019,12,346.8676251
"241",2020,1,345.5675614
"242",2020,2,363.3980144
"243",2020,3,366.2670595
"244",2020,4,352.8317988
"245",2020,5,339.314463
"246",2020,6,315.6688646
"247",2020,7,299.759887
"248",2020,8,295.7039252
"249",2020,9,304.6580257
"250",2020,10,322.2191938
"251",2020,11,345.8508887
"252",2020,12,349.2803478
"253",2021,1,351.9925945
"254",2021,2,361.8028249
"255",2021,3,361.0578947
"256",2021,4,357.4458941
"257",2021,5,342.2864808
"258",2021,6,317.9569403
"259",2021,7,302.8017245
"260",2021,8,295.9601003
"261",2021,9,308.3175888
"262",2021,10,328.4314499
"263",2021,11,346.9871872
"264",2021,12,346.2913979
